label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
a,0.0,0.0,0.32653061224489793,0.030612244897959183,0.6632653061224489,-0.07142857142857142,0.8979591836734694,-0.22448979591836735,1.0,-0.3877551020408163,0.6122448979591837,-0.46938775510204084,0.7040816326530612,-0.673469387755102,0.5918367346938775,-0.47959183673469385,0.5408163265306123,-0.37755102040816324,0.4387755102040816,-0.5612244897959183,0.5102040816326531,-0.7653061224489796,0.40816326530612246,-0.5,0.40816326530612246,-0.42857142857142855,0.2755102040816326,-0.6122448979591837,0.32653061224489793,-0.7959183673469388,0.25510204081632654,-0.5510204081632653,0.25510204081632654,-0.46938775510204084,0.09183673469387756,-0.6428571428571429,0.1326530612244898,-0.7857142857142857,0.11224489795918367,-0.6224489795918368,0.10204081632653061,-0.5408163265306123
a,0.0,0.0,0.40229885057471265,-0.08045977011494253,0.7241379310344828,-0.3218390804597701,0.9195402298850575,-0.5747126436781609,0.9655172413793104,-0.7701149425287356,0.5402298850574713,-0.7011494252873564,0.5517241379310345,-0.9770114942528736,0.4827586206896552,-0.7241379310344828,0.47126436781609193,-0.5977011494252874,0.3218390804597701,-0.735632183908046,0.3218390804597701,-1.0,0.28735632183908044,-0.6781609195402298,0.3218390804597701,-0.6091954022988506,0.11494252873563218,-0.735632183908046,0.11494252873563218,-0.9655172413793104,0.10344827586206896,-0.6781609195402298,0.13793103448275862,-0.5977011494252874,-0.09195402298850575,-0.7126436781609196,-0.10344827586206896,-0.896551724137931,-0.09195402298850575,-0.7126436781609196,-0.06896551724137931,-0.6206896551724138
a,0.0,0.0,0.41379310344827586,-0.09195402298850575,0.7241379310344828,-0.3333333333333333,0.9195402298850575,-0.5747126436781609,0.9655172413793104,-0.7586206896551724,0.5402298850574713,-0.7126436781609196,0.5517241379310345,-0.9885057471264368,0.4942528735632184,-0.7241379310344828,0.47126436781609193,-0.5977011494252874,0.3333333333333333,-0.7471264367816092,0.3333333333333333,-1.0,0.2988505747126437,-0.6781609195402298,0.3333333333333333,-0.6091954022988506,0.11494252873563218,-0.735632183908046,0.12643678160919541,-0.9655172413793104,0.11494252873563218,-0.6781609195402298,0.13793103448275862,-0.5977011494252874,-0.09195402298850575,-0.7126436781609196,-0.09195402298850575,-0.896551724137931,-0.06896551724137931,-0.7011494252873564,-0.05747126436781609,-0.6206896551724138
a,0.0,0.0,0.4235294117647059,-0.08235294117647059,0.7529411764705882,-0.3176470588235294,0.9529411764705882,-0.5647058823529412,1.0,-0.7529411764705882,0.5647058823529412,-0.7058823529411765,0.5764705882352941,-0.9882352941176471,0.5058823529411764,-0.7176470588235294,0.49411764705882355,-0.6,0.3411764705882353,-0.7411764705882353,0.3411764705882353,-1.0,0.29411764705882354,-0.6705882352941176,0.3411764705882353,-0.611764705882353,0.12941176470588237,-0.7411764705882353,0.12941176470588237,-0.9647058823529412,0.11764705882352941,-0.6823529411764706,0.15294117647058825,-0.6,-0.07058823529411765,-0.7058823529411765,-0.09411764705882353,-0.8941176470588236,-0.07058823529411765,-0.7058823529411765,-0.047058823529411764,-0.6235294117647059
a,0.0,0.0,0.4069767441860465,-0.08139534883720931,0.7325581395348837,-0.313953488372093,0.9302325581395349,-0.5581395348837209,0.9767441860465116,-0.7441860465116279,0.5581395348837209,-0.6976744186046512,0.5697674418604651,-0.9767441860465116,0.5,-0.7209302325581395,0.4883720930232558,-0.5813953488372093,0.3488372093023256,-0.7325581395348837,0.3372093023255814,-1.0,0.29069767441860467,-0.6744186046511628,0.3372093023255814,-0.6046511627906976,0.13953488372093023,-0.7441860465116279,0.12790697674418605,-0.9651162790697675,0.11627906976744186,-0.6744186046511628,0.1511627906976744,-0.6046511627906976,-0.06976744186046512,-0.7093023255813954,-0.09302325581395349,-0.8953488372093024,-0.06976744186046512,-0.7093023255813954,-0.046511627906976744,-0.627906976744186
a,0.0,0.0,0.4117647058823529,-0.08235294117647059,0.7411764705882353,-0.3058823529411765,0.9529411764705882,-0.5411764705882353,1.0,-0.7294117647058823,0.5647058823529412,-0.6941176470588235,0.5882352941176471,-0.9647058823529412,0.5058823529411764,-0.6941176470588235,0.5058823529411764,-0.5647058823529412,0.35294117647058826,-0.7294117647058823,0.35294117647058826,-0.9882352941176471,0.3058823529411765,-0.6470588235294118,0.35294117647058826,-0.5882352941176471,0.1411764705882353,-0.7294117647058823,0.1411764705882353,-0.9529411764705882,0.12941176470588237,-0.6588235294117647,0.15294117647058825,-0.5764705882352941,-0.07058823529411765,-0.7058823529411765,-0.08235294117647059,-0.8823529411764706,-0.058823529411764705,-0.6823529411764706,-0.03529411764705882,-0.611764705882353
a,0.0,0.0,0.4069767441860465,-0.06976744186046512,0.7209302325581395,-0.313953488372093,0.9302325581395349,-0.5581395348837209,0.9767441860465116,-0.7441860465116279,0.5465116279069767,-0.686046511627907,0.5581395348837209,-0.9767441860465116,0.5,-0.7209302325581395,0.4883720930232558,-0.5813953488372093,0.3372093023255814,-0.7325581395348837,0.32558139534883723,-1.0,0.29069767441860467,-0.6744186046511628,0.3372093023255814,-0.6046511627906976,0.13953488372093023,-0.7325581395348837,0.12790697674418605,-0.9767441860465116,0.11627906976744186,-0.686046511627907,0.1511627906976744,-0.5930232558139535,-0.06976744186046512,-0.7093023255813954,-0.09302325581395349,-0.9069767441860465,-0.06976744186046512,-0.7209302325581395,-0.05813953488372093,-0.627906976744186
a,0.0,0.0,0.39080459770114945,-0.09195402298850575,0.7011494252873564,-0.3103448275862069,0.9080459770114943,-0.5517241379310345,0.9540229885057471,-0.7471264367816092,0.5172413793103449,-0.6896551724137931,0.5402298850574713,-0.9770114942528736,0.47126436781609193,-0.7126436781609196,0.45977011494252873,-0.5862068965517241,0.3103448275862069,-0.7241379310344828,0.3103448275862069,-1.0,0.27586206896551724,-0.6781609195402298,0.3103448275862069,-0.6091954022988506,0.10344827586206896,-0.735632183908046,0.11494252873563218,-0.9770114942528736,0.10344827586206896,-0.6896551724137931,0.12643678160919541,-0.5977011494252874,-0.10344827586206896,-0.7011494252873564,-0.10344827586206896,-0.896551724137931,-0.08045977011494253,-0.7011494252873564,-0.06896551724137931,-0.6091954022988506
a,0.0,0.0,0.3953488372093023,-0.08139534883720931,0.7093023255813954,-0.313953488372093,0.9186046511627907,-0.5697674418604651,0.9767441860465116,-0.7558139534883721,0.5348837209302325,-0.6976744186046512,0.5465116279069767,-0.9883720930232558,0.4883720930232558,-0.7209302325581395,0.47674418604651164,-0.5930232558139535,0.32558139534883723,-0.7325581395348837,0.313953488372093,-1.0,0.29069767441860467,-0.686046511627907,0.32558139534883723,-0.6046511627906976,0.11627906976744186,-0.7325581395348837,0.11627906976744186,-0.9767441860465116,0.10465116279069768,-0.686046511627907,0.13953488372093023,-0.5930232558139535,-0.09302325581395349,-0.7093023255813954,-0.10465116279069768,-0.9069767441860465,-0.09302325581395349,-0.7093023255813954,-0.06976744186046512,-0.6162790697674418
a,0.0,0.0,0.3953488372093023,-0.08139534883720931,0.7093023255813954,-0.313953488372093,0.8953488372093024,-0.5697674418604651,0.9534883720930233,-0.7558139534883721,0.5232558139534884,-0.6976744186046512,0.5348837209302325,-0.9883720930232558,0.47674418604651164,-0.7209302325581395,0.46511627906976744,-0.5930232558139535,0.313953488372093,-0.7325581395348837,0.3023255813953488,-1.0,0.27906976744186046,-0.686046511627907,0.32558139534883723,-0.6046511627906976,0.10465116279069768,-0.7325581395348837,0.09302325581395349,-0.9767441860465116,0.09302325581395349,-0.686046511627907,0.12790697674418605,-0.5930232558139535,-0.10465116279069768,-0.7093023255813954,-0.11627906976744186,-0.8953488372093024,-0.09302325581395349,-0.6976744186046512,-0.06976744186046512,-0.6162790697674418
